"id","city","name","geo_hash","latitude","longitude"
"0Hf4wGsoECK4QOPIr0KoR0rlYIjP6mQT","christchurch","Gull Wigram","rb68nq","-43.5607501","172.5494664"
"0jLi4XXzpIWAQCSkUPfdk1YR3b36iph0","hamilton","Waitomo Hamilton Central","rck9h6n","-37.781449","175.27377"
"0qIGnFVZCxiYSnuClVJhOTd0Hq0bGaDw","hamilton","BP Connect Ngaruawahia","rck99wj","-37.6712574944","175.151676339"
"0wo6lMw0t3x2tbsQWvYH3f2BLqdzmTS7","auckland","Mobil Lincoln Road","rcknmg","-36.851824672","174.630947587"
"0zv0Ywh3LzX8lf2oe1GywmMwg03Iz4Bu","hamilton","Gull Norton Road","rck9h1g","-37.783007","175.25849"
"11oX4W3LIJximdZbs1RczYjvXhLzqlaa","auckland","Gull St Heliers","rckq68n","-36.869926195918","174.84567506471"
"1mZknzMN7GUkt2K2nb4A7i2I3bjrMeaf","hamilton","Z Dinsdale","rck8gz","-37.7947800871","175.247369263"
"1nX6p7xqUuMrLvA4ny3ZJON8IMEbslHb","christchurch","NPD Hornby","rb68jy","-43.557517732545","172.52400822937"
"1uSOLvtDpamGBuxBMiTLn1aIZUZ0ewp4","auckland","BP Connect Papakura","rckmhb","-37.0885272066","174.939328877"
"1uY5GTFC6EVZztJ1r0ZRWW6KtKuQvJ1t","hamilton","Waitomo Te Awamutu","rchxv88","-38.0087981","175.3207928"
"26pIByk8Si4Q321jxb23bGuF6LQnWPae","christchurch","BP Connect Fendalton","rb68rm","-43.5184037466","172.589995825"
"277hVvxbPwlfmCGiK3hkXNUF5KikNWEg","christchurch","Pak 'n Save Moorhouse","rb6b29b","-43.5395158","172.6392568"
"2i3XJtbqZ78LyYsNSlE05enZxxbgI3or","auckland","Gull Rosebank East","rcknnxq","-36.874195","174.670091"
"2iBbfKMb64HwpzZC0DUGHByjJ7t32tDW","wellington","Z Seaview","rbsmkj","-41.2365052771","174.906018868"
"2tn8JF64cMzG1gcrdMezsLwgYoVBczAa","auckland","Mobil Glen Innes","rckq4yj","-36.8803248403","174.855296932"
"30sRIn8w4CsoUGsfaZKcFBwMzJKBQg7e","hamilton","Challenge Killarney","rck8up","-37.7951055","175.2639369"
"360LSct55EaFJqNiywQ7ikik0cs1AEEB","christchurch","BP 2go Halswell","rb68ng","-43.572002188","172.571006619"
"3KzHKt3txvMlgZefaekWkxPdj6H7M6ct","auckland","Mobil Oteha Service Station","rckppez","-36.716742702928","174.71486924216"
"3MJ3zMFi3rRmqr4X6h7HdzIfxVhB72fc","wellington","Z Hutt Rd","rbsme9","-41.2141953987","174.887668013"
