id,city,name,geo_hash
3yN1SqU4lnrAu5gvRidskWJx1QhLMkrF,auckland,Z Beach Rd,rckq35
emOuj1sP2OLZgFZquSs8QNlp6Y6qAz03,auckland,Orams Marine Village,rckq2t
JyiI6deAlVsgAWGfSHopq5kXrDMj0H1J,auckland,Z Ponsonby,rckq26
ydJA4DmrnNXZAO0Jl1B1dvBgjPpYHlaO,auckland,BP Connect Fanshawe Street,rckq2s
EKxLlqeV16tzzGZzmJBR5F2dpYagRnMP,auckland,Z Royal Oak,rckq10
XWJt4UjNGA6nN5LEDwKqQKaD3Hfa5tUF,auckland,Gull Kingsland,rckq0x
XpDvFClH8tvK6acCsoHnlNKVaz57iqrV,auckland,Waitomo Epsom,rckq1n
bbDLv8pY71RqHhQFzzBroKKTVVqqBgfl,auckland,GAS Dominion Road,rckq0w
KPLbvUwz5ZnjOlE7AG22wMVMRNGFY83u,auckland,Mobil Mt Eden,rckq0v
is1VzZfShzwoYUBjKeSkhTkQRZXWIFry,auckland,GAS Mt Roskill,rckq01
JFxsphAF0U8eyhSWuxyHLKw2b0gsOrUX,auckland,BP 2go Landscape,rckq0d
eeTATCNRwgqMJYAFNFiwFTQg1R3zc8yp,auckland,Mobil Mt Roskill,rckq03
jfrZrF8wiVSq0zqSwlAYduxidNTI2a3i,auckland,Caltex Dominion Rd,rckq06
GCRPVM4k0PhSg6a3W4Tn5DcAMXMtJQK7,auckland,Mobil St Lukes,rckq0j
zzJmk1RaMFy5PE0XDNMzJMb0dMQUrSVK,auckland,Z Sandringham,rckq0m
VJktaiiAumsjUBFvFgMp8zDJX3AGZ1tT,auckland,Mobil Mt Albert,rckq05
e3rxQk6yAvENILI8RGTW1Mvw4FAn2JwU,auckland,Mobil Dominion Road,rckq0k
RLqgN5A3ASbJBOmqvprPBUbLjUcBv5ig,auckland,Mobil Epsom,rckq1h
8K4okGWGHGADDlN7U3VbcvyvMUUEjoMm,auckland,BP 2go Epsom,rckq15
U4bp1wAZ0Qst5qD6pFkbVyWeyIj4HPlY,auckland,Mobil Eden Park,rckq0r
OqJwFbjWT8kBpBRPyHvx6HipRZzoJTYN,auckland,Mobil Blockhouse Bay,rcknp3
IiekTKig6HnYKwyTjzaVlBbT3QyjdGHo,auckland,BP Connect Waterview,rcknpq
